,Lat,Lon
CJ1_B_At,19.42305556,108.8155556
CJ1_B_Fr,19.42305556,108.8155556
CJ1_S_At,19.42305556,108.8155556
CJ1_S_Fr,19.42305556,108.8155556
LG1_B_At,20.00194444,109.6477778
LG1_B_Fr,20.00194444,109.6477778
LG1_S_At,20.00194444,109.6477778
LG1_S_Fr,20.00194444,109.6477778
LG2_B_Fr,20.00138889,109.6561111
LG2_S_At,20.00138889,109.6561111
LG2_S_Fr,20.00138889,109.6561111
SY1_B_At,18.31972222,109.4505556
SY1_B_Fr,18.31972222,109.4505556
SY1_S_At,18.31972222,109.4505556
SY1_S_Fr,18.31972222,109.4505556
SY2_B_At,18.215,109.4780556
SY2_B_Fr,18.215,109.4780556
SY2_S_At,18.215,109.4780556
SY2_S_Fr,18.215,109.4780556
WC1_B_At,20.07916667,110.6444444
WC1_B_Fr,20.07916667,110.6444444
WC1_S_At,20.07916667,110.6444444
WC1_S_Fr,20.07916667,110.6444444
WC2_B_At,20.0775,110.6408333
WC2_B_Fr,20.0775,110.6408333
WC2_S_At,20.0775,110.6408333
WC2_S_Fr,20.0775,110.6408333
W18_A,9.64375,112.9761833
W19_A,9.64375,112.9761833
W20_A,9.65779564,112.9762171
W21_A,9.65779564,112.9762171
W22_A,9.890833333,115.5353333
W23_A,9.890833333,115.5353333
W24_A,9.883652778,115.5603944
W25_A,9.883652778,115.5603944
W26_A,9.877275,115.5214111
W27_A,9.877275,115.5214111
W28_A,15.92135,114.6456333
W29_A,15.92135,114.6456333
W30_A,15.9166,114.48295
W31_A,15.9166,114.48295
W32_A,16.54868333,111.73845
W33_A,16.54868333,111.73845
W34_A,16.50876111,111.5811639
W35_A,16.50876111,111.5811639
W36_A,16.96788333,112.2709278
W37_A,16.96788333,112.2709278
W38_A,16.95208333,112.3264722
W39_A,16.95208333,112.3264722
W40_A,17.0624338,111.4668618
W41_A,17.0624338,111.4668618
W42_A,17.11642253,111.5334214
W43_A,17.11642253,111.5334214
W44_A,17.110808,111.499878
W45_A,17.110808,111.499878
W18_Fr,9.64375,112.9761833
W19_Fr,9.64375,112.9761833
W20_Fr,9.65779564,112.9762171
W21_Fr,9.65779564,112.9762171
W22_Fr,9.890833333,115.5353333
W23_Fr,9.890833333,115.5353333
W24_Fr,9.883652778,115.5603944
W25_Fr,9.883652778,115.5603944
W26_Fr,9.877275,115.5214111
W27_Fr,9.877275,115.5214111
W28_Fr,15.92135,114.6456333
W29_Fr,15.92135,114.6456333
W30_Fr,15.9166,114.48295
W31_Fr,15.9166,114.48295
W32_Fr,16.54868333,111.73845
W33_Fr,16.54868333,111.73845
W34_Fr,16.50876111,111.5811639
W35_Fr,16.50876111,111.5811639
W36_Fr,16.96788333,112.2709278
W37_Fr,16.96788333,112.2709278
W38_Fr,16.95208333,112.3264722
W39_Fr,16.95208333,112.3264722
W40_Fr,17.0624338,111.4668618
W41_Fr,17.0624338,111.4668618
W42_Fr,17.11642253,111.5334214
W43_Fr,17.11642253,111.5334214
W44_Fr,17.110808,111.499878
W45_Fr,17.110808,111.499878
